"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.079445833E-2,2.464613275E-1,6.628328381E-1,9.784478073E0
2.081345837E-2,2.469309868E-1,6.624750616E-1,9.784490352E0
3.083245829E-2,2.470249808E-1,6.622180033E-1,9.784505555E0
4.085145833E-2,2.478788387E-1,6.617339270E-1,9.784516665E0
5.087045836E-2,2.477715606E-1,6.615517862E-1,9.784531868E0
6.088945828E-2,2.482728131E-1,6.613596321E-1,9.784531868E0
7.090845832E-2,2.484902017E-1,6.611925479E-1,9.784537715E0
8.092745836E-2,2.486731282E-1,6.611891858E-1,9.784533037E0
9.094645840E-2,2.431241388E-1,6.603205088E-1,9.784731258E0
1.009654583E-1,2.452397528E-1,6.571238360E-1,9.784893810E0
1.109854584E-1,2.481836248E-1,6.566246299E-1,9.784852880E0
1.210044583E-1,2.449070827E-1,6.575370879E-1,9.784874514E0
1.310234583E-1,2.483739334E-1,6.600468591E-1,9.784617822E0
1.410424584E-1,2.480387053E-1,6.614810349E-1,9.784529529E0
1.510614584E-1,2.483338983E-1,6.628060871E-1,9.784432465E0
1.610804583E-1,2.500494714E-1,6.686007509E-1,9.783994508E0
1.710994584E-1,2.481161809E-1,6.719136371E-1,9.783816753E0
1.811184584E-1,2.501306746E-1,6.732804968E-1,9.783671742E0
1.911374583E-1,2.480925179E-1,6.766789716E-1,9.783488724E0
2.011564584E-1,2.529025654E-1,6.752501314E-1,9.783464751E0
2.111754584E-1,2.491770850E-1,6.773856077E-1,9.783412710E0
2.211944583E-1,2.466498819E-1,6.710603090E-1,9.783912647E0
2.312134583E-1,2.467053939E-1,6.700149731E-1,9.783982814E0
2.412334584E-1,2.448006269E-1,6.718140151E-1,9.783907385E0
2.512524583E-1,2.454563373E-1,6.725482792E-1,9.783840142E0
2.612714584E-1,2.447935371E-1,6.726441736E-1,9.783850082E0
2.712904584E-1,2.464790336E-1,6.738931388E-1,9.783722028E0
2.813094583E-1,2.473901029E-1,6.724648102E-1,9.783797457E0
2.913284583E-1,2.478700314E-1,6.703696798E-1,9.783929020E0
3.013474584E-1,2.489213790E-1,6.696517148E-1,9.783951239E0
3.113664583E-1,2.493071673E-1,6.699933384E-1,9.783917910E0
3.213854583E-1,2.490265923E-1,6.686851700E-1,9.784014974E0
3.314044584E-1,2.492975194E-1,6.677045920E-1,9.784074615E0
3.414234583E-1,2.498518537E-1,6.663717923E-1,9.784151798E0
3.514424583E-1,2.494117959E-1,6.662476851E-1,9.784171094E0
3.614624584E-1,2.496881317E-1,6.658296092E-1,9.784192729E0
3.714814583E-1,2.491332675E-1,6.650913251E-1,9.784257048E0
3.815004583E-1,2.494963978E-1,6.644248156E-1,9.784293301E0
3.915194584E-1,2.497151751E-1,6.645123046E-1,9.784281607E0
4.015384583E-1,2.498120927E-1,6.643287751E-1,9.784291547E0
4.115574583E-1,2.493187887E-1,6.646820200E-1,9.784279853E0
4.215764584E-1,2.496814439E-1,6.650224742E-1,9.784247693E0
4.315954583E-1,2.496727828E-1,6.653548153E-1,9.784225473E0
4.416144583E-1,2.495047119E-1,6.654165034E-1,9.784225473E0
4.516334584E-1,2.488542457E-1,6.655186835E-1,9.784234829E0
4.616524583E-1,2.488045809E-1,6.656177938E-1,9.784229566E0
4.716724583E-1,2.490067666E-1,6.650908135E-1,9.784260557E0
4.816914584E-1,2.489505054E-1,6.653725762E-1,9.784242430E0
4.917104583E-1,2.489231332E-1,6.655837338E-1,9.784228982E0
5.017294583E-1,2.487670125E-1,6.660865943E-1,9.784198576E0
5.117484584E-1,2.489998779E-1,6.670144743E-1,9.784129579E0
5.217674583E-1,2.491219202E-1,6.677360208E-1,9.784076954E0
5.317864583E-1,2.490867273E-1,6.678095495E-1,9.784072861E0
5.418054584E-1,2.492116567E-1,6.673780250E-1,9.784099174E0
5.518244583E-1,2.492338579E-1,6.671806084E-1,9.784112037E0
5.618434583E-1,2.492497184E-1,6.667153162E-1,9.784143612E0
5.718624584E-1,2.495585976E-1,6.666121859E-1,9.784142443E0
5.818814583E-1,2.494707432E-1,6.666661265E-1,9.784141273E0
5.919004583E-1,2.493815731E-1,6.664801850E-1,9.784156476E0
6.019204584E-1,2.493286558E-1,6.660955113E-1,9.784183958E0
6.119394583E-1,2.492052613E-1,6.659613908E-1,9.784196237E0
6.219584583E-1,2.490968320E-1,6.660257102E-1,9.784194483E0
6.319774584E-1,2.488766843E-1,6.661536180E-1,9.784191560E0
6.419964583E-1,2.488059330E-1,6.662625224E-1,9.784185712E0
6.520154583E-1,2.486191328E-1,6.662659577E-1,9.784190390E0
6.620344584E-1,2.486255282E-1,6.666363057E-1,9.784164662E0
6.720534583E-1,2.486474004E-1,6.665684049E-1,9.784168755E0
6.820724583E-1,2.487002263E-1,6.663513270E-1,9.784182204E0
6.920914584E-1,2.487264657E-1,6.661500366E-1,9.784195653E0
7.021104584E-1,2.487806073E-1,6.664049021E-1,9.784176942E0
7.121304583E-1,2.492221269E-1,6.665485974E-1,9.784155892E0
7.221494584E-1,2.492346619E-1,6.668261940E-1,9.784136596E0
7.321684583E-1,2.492969712E-1,6.672975527E-1,9.784102682E0
7.421875834E-1,2.493822675E-1,6.674389822E-1,9.784090987E0
7.522065834E-1,2.493938340E-1,6.677602867E-1,9.784068768E0
7.622255833E-1,2.494731003E-1,6.675980996E-1,9.784077539E0
7.722445833E-1,2.495510510E-1,6.675684249E-1,9.784077539E0
7.822635834E-1,2.494432065E-1,6.672498979E-1,9.784102097E0
7.922825833E-1,2.497009956E-1,6.669291781E-1,9.784117300E0
8.023015833E-1,2.497505507E-1,6.667467450E-1,9.784128410E0
8.123205834E-1,2.499102345E-1,6.665196537E-1,9.784140104E0
8.223395833E-1,2.500893603E-1,6.664636666E-1,9.784139519E0
8.323595833E-1,2.499824294E-1,6.664152078E-1,9.784145367E0
8.423785834E-1,2.501472660E-1,6.664837664E-1,9.784136596E0
8.523975833E-1,2.500252054E-1,6.666320664E-1,9.784129579E0
8.624165833E-1,2.499088641E-1,6.664846435E-1,9.784142443E0
8.724355834E-1,2.497663565E-1,6.664296066E-1,9.784150044E0
8.824545833E-1,2.496872363E-1,6.665009426E-1,9.784147121E0
8.924735833E-1,2.497134757E-1,6.665570759E-1,9.784142443E0
9.024925834E-1,2.498256874E-1,6.665548101E-1,9.784140104E0
9.125115833E-1,2.497528896E-1,6.666914157E-1,9.784132503E0
9.225305833E-1,2.497153761E-1,6.667803665E-1,9.784127240E0
9.325495834E-1,2.498316078E-1,6.667239408E-1,9.784128410E0
9.425685833E-1,2.498168435E-1,6.666933160E-1,9.784130749E0
9.525875833E-1,2.497689329E-1,6.666531164E-1,9.784134842E0
9.626075834E-1,2.496569222E-1,6.666539935E-1,9.784137180E0
9.726265833E-1,2.497283496E-1,6.666558208E-1,9.784135426E0
