"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.235291668E-3,-2.912748419E-2,1.271801535E-2,-1.879033633E-3,3.183848327E-2
1.525629172E-2,4.119221866E-2,-1.479590032E-2,1.095983665E-3,4.378263040E-2
2.527629165E-2,1.108025573E-2,2.256840467E-2,2.520480193E-4,2.514296094E-2
3.529629169E-2,-2.957422845E-2,-2.316712588E-2,-4.198892973E-3,3.780187049E-2
4.531729163E-2,-4.753774032E-3,7.194088306E-3,2.546683885E-3,8.991044039E-3
5.533729168E-2,2.473993599E-2,2.811856568E-3,-1.345525961E-3,2.493554512E-2
6.535829173E-2,-6.446998101E-3,7.576901698E-4,1.747647300E-3,6.722510691E-3
7.537829166E-2,-1.688472554E-2,-7.822748274E-3,-1.021507662E-3,1.863686736E-2
8.539929171E-2,9.583013132E-3,8.702460676E-3,3.296351060E-4,1.294896219E-2
9.541929164E-2,8.161151782E-3,-5.584599916E-3,-2.831583843E-4,9.893044693E-3
1.054402917E-1,-1.278049778E-2,4.230620340E-3,7.136804052E-4,1.348141727E-2
1.154602916E-1,2.639312297E-4,-7.728837430E-3,-1.718208659E-4,7.735251136E-3
1.254812917E-1,8.697041310E-3,1.106825750E-2,-5.661898758E-4,1.408777565E-2
1.355012917E-1,-2.786109690E-4,-7.995181717E-3,1.189898700E-3,8.088041399E-3
1.455222917E-1,-5.347453058E-3,3.092973959E-3,-9.213406593E-4,6.245847478E-3
1.555422917E-1,6.793365348E-3,-7.139390800E-5,1.875497401E-5,6.793766378E-3
1.655632916E-1,5.542894360E-4,-1.739612548E-3,-1.651238417E-3,2.461722345E-3
1.755832917E-1,-3.506764770E-3,-1.397396438E-3,-8.183764294E-5,3.775819560E-3
1.856042917E-1,4.773098044E-4,2.914865036E-3,-5.731047131E-4,3.008772480E-3
1.956242917E-1,5.754895974E-3,-1.505716122E-3,-8.455461357E-4,6.008407191E-3
2.056452917E-1,-1.038576593E-3,1.218192629E-3,2.613049001E-4,1.622009516E-3
