"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.235866663E-2,-2.384499550E1,-3.740197372E1,-5.873144531E1,7.359941656E1
2.237866656E-2,-2.373085976E1,-3.754721451E1,-5.873260498E1,7.363739478E1
3.239966661E-2,-2.366317940E1,-3.757991791E1,-5.856701660E1,7.350028383E1
4.242066666E-2,-2.345916367E1,-3.762546158E1,-5.865838623E1,7.353104102E1
5.244066659E-2,-2.348760796E1,-3.763757324E1,-5.854187012E1,7.345342200E1
6.246166665E-2,-2.341567802E1,-3.762413406E1,-5.880657959E1,7.363479642E1
7.248266658E-2,-2.336738205E1,-3.765233612E1,-5.839807129E1,7.330803291E1
8.250266663E-2,-2.334912682E1,-3.750140381E1,-5.808209229E1,7.297305294E1
9.252366656E-2,-2.336335182E1,-3.743758774E1,-5.831884766E1,7.313348874E1
1.025446666E-1,-2.325963783E1,-3.743046188E1,-5.813513184E1,7.295028295E1
1.125646667E-1,-2.342244911E1,-3.762965775E1,-5.877789307E1,7.361686612E1
1.225856666E-1,-2.346500969E1,-3.766024017E1,-5.860443115E1,7.350768477E1
1.326066667E-1,-2.348838806E1,-3.766649628E1,-5.845275879E1,7.339750899E1
1.426266666E-1,-2.332434845E1,-3.765916443E1,-5.878033447E1,7.360275550E1
1.526476666E-1,-2.332438087E1,-3.767648697E1,-5.828515625E1,7.321682766E1
1.626686666E-1,-2.339319420E1,-3.771666336E1,-5.899700928E1,7.382706369E1
1.726886666E-1,-2.348411560E1,-3.767130280E1,-5.856134033E1,7.348510952E1
1.827096667E-1,-2.348560524E1,-3.759571457E1,-5.861462402E1,7.348935676E1
1.927306666E-1,-2.345352173E1,-3.766147232E1,-5.879522705E1,7.365685917E1
2.027506666E-1,-2.352807236E1,-3.760744476E1,-5.833966064E1,7.328987716E1
2.127716666E-1,-2.342837334E1,-3.753708267E1,-5.854748535E1,7.338752819E1
2.227926666E-1,-2.336452103E1,-3.762056351E1,-5.835552979E1,7.325691434E1
2.328126666E-1,-2.341804504E1,-3.757496262E1,-5.852526855E1,7.338589584E1
2.428336666E-1,-2.331797218E1,-3.759271240E1,-5.882031250E1,7.359870254E1
2.528546667E-1,-2.341874695E1,-3.756424332E1,-5.844299316E1,7.331502939E1
2.628746666E-1,-2.346701241E1,-3.751016998E1,-5.886938477E1,7.364318017E1
2.728956667E-1,-2.339894485E1,-3.763542557E1,-5.889739990E1,7.370779873E1
2.829166666E-1,-2.323376656E1,-3.759621048E1,-5.906121826E1,7.376659443E1
2.929366666E-1,-2.313916206E1,-3.752928925E1,-5.920214844E1,7.381573512E1
3.029576666E-1,-2.319644165E1,-3.744305801E1,-5.869396973E1,7.338282892E1
3.129786666E-1,-2.327628708E1,-3.752629852E1,-5.875769043E1,7.350152927E1
3.229986667E-1,-2.323453140E1,-3.757747650E1,-5.855432129E1,7.335201927E1
3.330196666E-1,-2.331020355E1,-3.748491287E1,-5.892736816E1,7.362689048E1
3.430406667E-1,-2.325833130E1,-3.749980927E1,-5.867388916E1,7.341533177E1
3.530606666E-1,-2.322256470E1,-3.755030823E1,-5.838720703E1,7.320095016E1
3.630816666E-1,-2.328414726E1,-3.753262329E1,-5.894140625E1,7.365418315E1
3.731026666E-1,-2.332373619E1,-3.754512024E1,-5.866809082E1,7.345459553E1
3.831226666E-1,-2.347466278E1,-3.750956345E1,-5.902685547E1,7.377124649E1
3.931436666E-1,-2.332455635E1,-3.750357056E1,-5.885211182E1,7.358072981E1
4.031646666E-1,-2.338456535E1,-3.759053802E1,-5.866778564E1,7.349690822E1
4.131846667E-1,-2.350259590E1,-3.745903778E1,-5.894049072E1,7.368536471E1
4.232056666E-1,-2.348275566E1,-3.743999100E1,-5.852624512E1,7.333835359E1
4.332266666E-1,-2.347542953E1,-3.750697327E1,-5.888366699E1,7.365565202E1
4.432466666E-1,-2.343454361E1,-3.741733551E1,-5.856518555E1,7.334245557E1
4.532676666E-1,-2.351680565E1,-3.750647736E1,-5.854479980E1,7.339802161E1
4.632886666E-1,-2.343220520E1,-3.731777191E1,-5.899218750E1,7.363261863E1
4.733086666E-1,-2.349321747E1,-3.737319183E1,-5.841589355E1,7.321955582E1
4.833296667E-1,-2.345312119E1,-3.733487701E1,-5.878375244E1,7.348109611E1
4.933506666E-1,-2.348575401E1,-3.733746338E1,-5.857574463E1,7.332656184E1
5.033706666E-1,-2.338066483E1,-3.730953217E1,-5.859649658E1,7.329533471E1
5.133916666E-1,-2.341242981E1,-3.738454819E1,-5.873114014E1,7.345129770E1
5.234126666E-1,-2.349109268E1,-3.738633728E1,-5.833013916E1,7.315719230E1
5.334326666E-1,-2.359532928E1,-3.733250427E1,-5.854376221E1,7.333367257E1
5.434536666E-1,-2.348258591E1,-3.739248276E1,-5.847155762E1,7.327040779E1
5.534746667E-1,-2.345635986E1,-3.743033600E1,-5.896801758E1,7.367806979E1
5.634946666E-1,-2.339588737E1,-3.740472794E1,-5.893450928E1,7.361900299E1
5.735156666E-1,-2.337318611E1,-3.754090881E1,-5.857220459E1,7.339161270E1
5.835366666E-1,-2.357650948E1,-3.762304688E1,-5.885852051E1,7.372700246E1
5.935566666E-1,-2.333865166E1,-3.760430908E1,-5.853057861E1,7.337987023E1
6.035776666E-1,-2.340472984E1,-3.755208206E1,-5.863616943E1,7.345842778E1
6.135986666E-1,-2.358399010E1,-3.752446747E1,-5.866516113E1,7.352476711E1
6.236186667E-1,-2.363433266E1,-3.756574249E1,-5.823321533E1,7.321798998E1
6.336396666E-1,-2.345060158E1,-3.750761414E1,-5.870013428E1,7.350141221E1
6.436606667E-1,-2.351240349E1,-3.746871567E1,-5.821112061E1,7.311136939E1
6.536806666E-1,-2.338581467E1,-3.757695770E1,-5.874273682E1,7.355020875E1
6.637016666E-1,-2.338657379E1,-3.756158829E1,-5.868756104E1,7.349853447E1
6.737226666E-1,-2.352772522E1,-3.754190063E1,-5.854785156E1,7.342206126E1
6.837426666E-1,-2.342827225E1,-3.744303131E1,-5.870904541E1,7.346847315E1
6.937636667E-1,-2.362072182E1,-3.746361923E1,-5.838098145E1,7.327892098E1
7.037846666E-1,-2.338903618E1,-3.745775604E1,-5.874176025E1,7.348962443E1
7.138046667E-1,-2.341317558E1,-3.753772736E1,-5.859777832E1,7.342313934E1
7.238256666E-1,-2.338665009E1,-3.745819855E1,-5.883221436E1,7.356141303E1
7.338466666E-1,-2.345271111E1,-3.747683334E1,-5.832324219E1,7.318567671E1
7.438666666E-1,-2.345725632E1,-3.751339722E1,-5.889050293E1,7.365859882E1
7.538876666E-1,-2.347883224E1,-3.760179138E1,-5.863000488E1,7.350256969E1
7.639086666E-1,-2.343000031E1,-3.747504044E1,-5.862640381E1,7.341933528E1
7.739286666E-1,-2.349205399E1,-3.754582214E1,-5.912292480E1,7.387208944E1
7.839496667E-1,-2.344174194E1,-3.751683426E1,-5.844311523E1,7.329819804E1
7.939706666E-1,-2.343837166E1,-3.744361115E1,-5.890844727E1,7.363142292E1
8.039906666E-1,-2.329303741E1,-3.745078278E1,-5.844665527E1,7.321979401E1
8.140116666E-1,-2.335788727E1,-3.752434540E1,-5.866241455E1,7.345029800E1
8.240326666E-1,-2.324689293E1,-3.758802032E1,-5.895812988E1,7.368404428E1
8.340526667E-1,-2.340202141E1,-3.744398499E1,-5.832128906E1,7.315107228E1
8.440736666E-1,-2.343468857E1,-3.751116562E1,-5.885778809E1,7.362412236E1
8.540946667E-1,-2.344058037E1,-3.757069778E1,-5.867193604E1,7.350791942E1
8.641146666E-1,-2.346173096E1,-3.755600739E1,-5.893634033E1,7.371837438E1
8.741356666E-1,-2.346037292E1,-3.757897186E1,-5.916723633E1,7.391434285E1
8.841566666E-1,-2.349277687E1,-3.760269165E1,-5.864721680E1,7.352121478E1
8.941766666E-1,-2.353295708E1,-3.752983093E1,-5.891064453E1,7.370720669E1
9.041976666E-1,-2.360704041E1,-3.760700226E1,-5.889892578E1,7.376084621E1
9.142186666E-1,-2.355673409E1,-3.754019165E1,-5.905578613E1,7.383611302E1
9.242386667E-1,-2.345133400E1,-3.745056534E1,-5.904046631E1,7.374473929E1
9.342596666E-1,-2.335326385E1,-3.751027679E1,-5.865325928E1,7.343432863E1
9.442806666E-1,-2.344429207E1,-3.760052872E1,-5.885516357E1,7.367065135E1
9.543006666E-1,-2.352796745E1,-3.769273758E1,-5.854986572E1,7.350098295E1
9.643216666E-1,-2.351698112E1,-3.759564972E1,-5.907995605E1,7.387098542E1
9.743426666E-1,-2.347181702E1,-3.755049133E1,-5.906329346E1,7.382031040E1
9.843636666E-1,-2.342628098E1,-3.770216370E1,-5.854864502E1,7.347235957E1
9.943836667E-1,-2.348641396E1,-3.763144302E1,-5.907843018E1,7.387826512E1
1.004404667E0,-2.351883316E1,-3.766444397E1,-5.875518799E1,7.364725364E1
1.014425667E0,-2.340659714E1,-3.760868073E1,-5.904071045E1,7.381115868E1
1.024445667E0,-2.350877953E1,-3.754783249E1,-5.893554688E1,7.372856383E1
1.034466667E0,-2.356221390E1,-3.753310394E1,-5.865063477E1,7.351060314E1
1.044487667E0,-2.354753494E1,-3.755104828E1,-5.900695801E1,7.379965259E1
1.054507667E0,-2.349182320E1,-3.753193283E1,-5.847802734E1,7.334978815E1
1.064528667E0,-2.362615967E1,-3.766436005E1,-5.918994141E1,7.402870120E1
1.074549667E0,-2.369730377E1,-3.768576813E1,-5.886169434E1,7.380026006E1
1.084569667E0,-2.348001099E1,-3.770364380E1,-5.866076660E1,7.357962496E1
1.094590667E0,-2.337785339E1,-3.762726974E1,-5.904400635E1,7.381415950E1
1.104611667E0,-2.346660614E1,-3.760928726E1,-5.849841309E1,7.339757779E1
1.114631667E0,-2.353128242E1,-3.770496750E1,-5.904302979E1,7.390172659E1
1.124652667E0,-2.362275124E1,-3.768401337E1,-5.872930908E1,7.366987841E1
1.134673667E0,-2.352347946E1,-3.770311737E1,-5.850476074E1,7.346894701E1
1.144693667E0,-2.360960388E1,-3.753983307E1,-5.888085938E1,7.371301149E1
1.154714667E0,-2.358730888E1,-3.761826324E1,-5.830456543E1,7.328654187E1
1.164735667E0,-2.348810005E1,-3.751153564E1,-5.877581787E1,7.357583106E1
1.174755667E0,-2.355076218E1,-3.758544159E1,-5.860437012E1,7.349677554E1
1.184776667E0,-2.358600616E1,-3.761825562E1,-5.887164307E1,7.373807158E1
1.194797667E0,-2.353443909E1,-3.762595367E1,-5.907366943E1,7.388694495E1
1.204817667E0,-2.335683060E1,-3.760499573E1,-5.844317627E1,7.331631532E1
1.214838667E0,-2.340460205E1,-3.766815948E1,-5.887353516E1,7.370725051E1
1.224859667E0,-2.340429115E1,-3.767640686E1,-5.848248291E1,7.339940930E1
1.234879667E0,-2.352201462E1,-3.760238647E1,-5.889739990E1,7.373010481E1
1.244901167E0,-2.354235458E1,-3.759326935E1,-5.921307373E1,7.398435281E1
1.254922167E0,-2.336342430E1,-3.767724991E1,-5.857263184E1,7.345868196E1
1.264942167E0,-2.335646820E1,-3.761374664E1,-5.898596191E1,7.375406596E1
1.274963167E0,-2.331416512E1,-3.759388351E1,-5.854925537E1,7.338164401E1
1.284984167E0,-2.324806786E1,-3.757239151E1,-5.886083984E1,7.359861228E1
1.295004167E0,-2.332100677E1,-3.766947556E1,-5.899731445E1,7.378036228E1
1.305025167E0,-2.339210892E1,-3.768126678E1,-5.859197998E1,7.348529611E1
1.315046167E0,-2.336536407E1,-3.761587524E1,-5.900225830E1,7.377100239E1
1.325066167E0,-2.340240860E1,-3.751818848E1,-5.843780518E1,7.328208696E1
1.335087167E0,-2.342684746E1,-3.765221405E1,-5.890954590E1,7.373493746E1
1.345108167E0,-2.338707161E1,-3.766613770E1,-5.891174316E1,7.373117746E1
1.355128167E0,-2.325206375E1,-3.765190125E1,-5.858172607E1,7.341759167E1
1.365149167E0,-2.334098434E1,-3.767827225E1,-5.912176514E1,7.389070891E1
1.375170167E0,-2.340771866E1,-3.765782166E1,-5.861175537E1,7.349401807E1
1.385190167E0,-2.344092369E1,-3.764302826E1,-5.907812500E1,7.386947498E1
1.395211167E0,-2.341939545E1,-3.779343414E1,-5.874884033E1,7.367657693E1
1.405232167E0,-2.346521568E1,-3.763296127E1,-5.839514160E1,7.332699833E1
1.415252167E0,-2.360092163E1,-3.756383133E1,-5.872442627E1,7.359757582E1
1.425273167E0,-2.360242844E1,-3.758948135E1,-5.846051025E1,7.340078335E1
1.435294167E0,-2.357531738E1,-3.770288467E1,-5.888861084E1,7.379140593E1
1.445314167E0,-2.353408813E1,-3.767390823E1,-5.855114746E1,7.349430954E1
1.455335167E0,-2.349026108E1,-3.766247559E1,-5.840069580E1,7.335458883E1
1.465356167E0,-2.365567589E1,-3.769601059E1,-5.919122314E1,7.405525716E1
1.475376167E0,-2.354462433E1,-3.768595886E1,-5.859344482E1,7.353755916E1
1.485397167E0,-2.352498245E1,-3.761997223E1,-5.905676270E1,7.386736986E1
1.495418167E0,-2.364287376E1,-3.772933197E1,-5.876947021E1,7.373153057E1
1.505438167E0,-2.360953331E1,-3.764915848E1,-5.846240234E1,7.343515292E1
1.515459167E0,-2.353365326E1,-3.754974365E1,-5.889013672E1,7.370118240E1
1.525480167E0,-2.348290062E1,-3.762334824E1,-5.852673340E1,7.343256414E1
1.535500167E0,-2.352961922E1,-3.764654541E1,-5.895806885E1,7.380351783E1
1.545521167E0,-2.334860992E1,-3.765209961E1,-5.858111572E1,7.344784074E1
