"Time t (s)","Acceleration x (g)","Acceleration y (g)","Acceleration z (g)","Absolute Acceleration (g)"
1.294000030E0,-2.136230469E-2,2.478027344E-2,9.940185547E-1,9.945568442E-1
1.304000020E0,-2.148437500E-2,2.453613281E-2,9.931640625E-1,9.936993718E-1
1.314000010E0,-2.221679688E-2,2.392578125E-2,9.945068359E-1,9.950426221E-1
1.325000048E0,-2.246093750E-2,2.355957031E-2,9.949951172E-1,9.955273867E-1
1.335000038E0,-2.221679688E-2,2.392578125E-2,9.938964844E-1,9.944326282E-1
1.375000000E0,-2.282714844E-2,2.600097656E-2,9.945068359E-1,9.951085448E-1
1.384999990E0,-2.197265625E-2,2.575683594E-2,9.942626953E-1,9.948389530E-1
1.394999981E0,-2.136230469E-2,2.526855469E-2,9.940185547E-1,9.945691228E-1
1.406000018E0,-2.148437500E-2,2.575683594E-2,9.940185547E-1,9.945842624E-1
1.416000009E0,-2.172851562E-2,2.648925781E-2,9.934082031E-1,9.939988256E-1
1.425999999E0,-2.172851562E-2,2.587890625E-2,9.929199219E-1,9.934947491E-1
1.437000036E0,-2.221679688E-2,2.465820312E-2,9.935302734E-1,9.940845370E-1
1.447000027E0,-2.258300781E-2,2.392578125E-2,9.941406250E-1,9.946848750E-1
1.457000017E0,-2.246093750E-2,2.392578125E-2,9.942626953E-1,9.948041439E-1
1.467000008E0,-2.209472656E-2,2.392578125E-2,9.938964844E-1,9.944298863E-1
1.476999998E0,-2.233886719E-2,2.404785156E-2,9.932861328E-1,9.938282967E-1
1.486999989E0,-2.258300781E-2,2.453613281E-2,9.927978516E-1,9.933577180E-1
1.496999979E0,-2.233886719E-2,2.441406250E-2,9.925537109E-1,9.931051731E-1
1.506999969E0,-2.197265625E-2,2.416992188E-2,9.934082031E-1,9.939450622E-1
1.516999960E0,-2.233886719E-2,2.465820312E-2,9.943847656E-1,9.949412346E-1
1.527999997E0,-2.319335938E-2,2.551269531E-2,9.943847656E-1,9.949823618E-1
1.536999941E0,-2.331542969E-2,2.600097656E-2,9.938964844E-1,9.945098758E-1
1.547000051E0,-2.246093750E-2,2.575683594E-2,9.932861328E-1,9.938738346E-1
1.557999969E0,-2.172851562E-2,2.526855469E-2,9.930419922E-1,9.936010242E-1
1.567999959E0,-2.233886719E-2,2.563476562E-2,9.937744141E-1,9.943559766E-1
1.618000031E0,-2.246093750E-2,2.563476562E-2,9.937744141E-1,9.943587184E-1
1.628000021E0,-2.307128906E-2,2.514648438E-2,9.929199219E-1,9.935061932E-1
1.639000058E0,-2.294921875E-2,2.465820312E-2,9.920654297E-1,9.926371574E-1
1.649000049E0,-2.258300781E-2,2.465820312E-2,9.915771484E-1,9.921407700E-1
1.659000039E0,-2.246093750E-2,2.465820312E-2,9.923095703E-1,9.928699732E-1
1.669000030E0,-2.270507812E-2,2.416992188E-2,9.938964844E-1,9.944495559E-1
1.679999948E0,-2.282714844E-2,2.355957031E-2,9.943847656E-1,9.949257374E-1
1.700000048E0,-2.197265625E-2,2.294921875E-2,9.932861328E-1,9.937941432E-1
1.710000038E0,-2.136230469E-2,2.380371094E-2,9.934082031E-1,9.939229488E-1
1.720000029E0,-2.172851562E-2,2.478027344E-2,9.930419922E-1,9.935887456E-1
1.730000019E0,-2.221679688E-2,2.502441406E-2,9.921875000E-1,9.927516580E-1
1.740000010E0,-2.233886719E-2,2.490234375E-2,9.927978516E-1,9.933613539E-1
1.750000000E0,-2.258300781E-2,2.502441406E-2,9.936523438E-1,9.942238927E-1
1.759999990E0,-2.258300781E-2,2.526855469E-2,9.937744141E-1,9.943521023E-1
1.771000028E0,-2.209472656E-2,2.563476562E-2,9.938964844E-1,9.944725037E-1
1.779999971E0,-2.172851562E-2,2.600097656E-2,9.937744141E-1,9.943519235E-1
1.791000009E0,-2.172851562E-2,2.612304688E-2,9.937744141E-1,9.943551421E-1
1.800999999E0,-2.221679688E-2,2.624511719E-2,9.938964844E-1,9.944911599E-1
1.810999990E0,-2.307128906E-2,2.612304688E-2,9.941406250E-1,9.947513938E-1
1.820999980E0,-2.368164062E-2,2.551269531E-2,9.941406250E-1,9.947498441E-1
1.832000017E0,-2.343750000E-2,2.490234375E-2,9.936523438E-1,9.942406416E-1
1.842000008E0,-2.233886719E-2,2.465820312E-2,9.932861328E-1,9.938432574E-1
1.851999998E0,-2.148437500E-2,2.404785156E-2,9.943847656E-1,9.949074984E-1
1.860999942E0,-2.136230469E-2,2.331542969E-2,9.954833984E-1,9.959855080E-1
1.871999979E0,-2.185058594E-2,2.294921875E-2,9.957275391E-1,9.962316155E-1
1.881999969E0,-2.233886719E-2,2.294921875E-2,9.945068359E-1,9.950223565E-1
1.891999960E0,-2.209472656E-2,2.343750000E-2,9.931640625E-1,9.936862588E-1
1.922999978E0,-2.185058594E-2,2.551269531E-2,9.927978516E-1,9.933659434E-1
1.932999969E0,-2.197265625E-2,2.648925781E-2,9.925537109E-1,9.931502342E-1
1.942999959E0,-2.185058594E-2,2.722167969E-2,9.927978516E-1,9.934113026E-1
1.952999949E0,-2.136230469E-2,2.685546875E-2,9.927978516E-1,9.933907390E-1
1.963999987E0,-2.136230469E-2,2.636718750E-2,9.934082031E-1,9.939876199E-1
1.973999977E0,-2.185058594E-2,2.624511719E-2,9.948730469E-1,9.954590201E-1
1.983000040E0,-2.221679688E-2,2.624511719E-2,9.951171875E-1,9.957110882E-1
1.993000031E0,-2.233886719E-2,2.600097656E-2,9.951171875E-1,9.957074523E-1
2.003999949E0,-2.246093750E-2,2.575683594E-2,9.952392578E-1,9.958258271E-1
