"Time t (s)","Angular Velocity x (rad/s)","Angular Velocity y (rad/s)","Angular Velocity z (rad/s)","Absolute Angular Velocity (rad/s)"
1.730000019E0,5.326317681E-3,2.130526942E-3,-1.065263471E-3,5.834688696E-3
1.741000056E0,7.456844234E-3,2.130526942E-3,-2.130526942E-3,8.042562848E-3
1.750000000E0,6.391580697E-3,2.130526942E-3,-1.065263471E-3,6.821014020E-3
1.759999990E0,5.326317681E-3,2.130526942E-3,-1.065263471E-3,5.834688696E-3
1.771000028E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
1.779999971E0,4.261053885E-3,1.065263471E-3,0.000000000E0,4.392193912E-3
1.789999962E0,4.261053885E-3,1.065263471E-3,-1.065263471E-3,4.519530355E-3
1.830000043E0,6.391580697E-3,3.195790349E-3,-1.065263471E-3,7.224968403E-3
1.840000033E0,6.391580697E-3,3.195790349E-3,-1.065263471E-3,7.224968403E-3
1.848999977E0,5.326317681E-3,2.130526942E-3,-1.065263471E-3,5.834688696E-3
1.858999968E0,4.261053885E-3,2.130526942E-3,-1.065263471E-3,4.881650258E-3
1.878000021E0,4.261053885E-3,2.130526942E-3,1.065263471E-3,4.881650258E-3
1.889000058E0,4.261053885E-3,1.065263471E-3,1.065263471E-3,4.519530355E-3
1.899000049E0,5.326317681E-3,1.065263471E-3,0.000000000E0,5.431799577E-3
1.907999992E0,6.391580697E-3,1.065263471E-3,-1.065263471E-3,6.566725003E-3
1.927999973E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
1.937000036E0,7.456844234E-3,2.130526942E-3,1.065263471E-3,7.828055807E-3
1.978000045E0,5.326317681E-3,2.130526942E-3,-1.065263471E-3,5.834688696E-3
1.986999989E0,6.391580697E-3,2.130526942E-3,-1.065263471E-3,6.821014020E-3
1.996999979E0,7.456844234E-3,2.130526942E-3,-1.065263471E-3,7.828055807E-3
2.006999969E0,7.456844234E-3,2.130526942E-3,-1.065263471E-3,7.828055807E-3
2.016999960E0,5.326317681E-3,3.195790349E-3,-2.130526942E-3,6.566725523E-3
2.026999950E0,3.195790349E-3,3.195790349E-3,-2.130526942E-3,4.996528631E-3
2.036999941E0,3.195790349E-3,2.130526942E-3,-2.130526942E-3,4.392193912E-3
2.046000004E0,4.261053885E-3,1.065263471E-3,-1.065263471E-3,4.519530355E-3
2.055999994E0,5.326317681E-3,1.065263471E-3,0.000000000E0,5.431799577E-3
2.066999912E0,5.326317681E-3,1.065263471E-3,0.000000000E0,5.431799577E-3
2.075999975E0,6.391580697E-3,1.065263471E-3,0.000000000E0,6.479744779E-3
2.085999966E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
2.095999956E0,5.326317681E-3,2.130526942E-3,-1.065263471E-3,5.834688696E-3
2.105999947E0,3.195790349E-3,2.130526942E-3,-1.065263471E-3,3.985851009E-3
2.125000000E0,3.195790349E-3,1.065263471E-3,1.065263471E-3,3.533079156E-3
2.135999918E0,5.326317681E-3,1.065263471E-3,1.065263471E-3,5.535271621E-3
2.145999908E0,7.456844234E-3,1.065263471E-3,0.000000000E0,7.532550245E-3
2.155999899E0,8.522107770E-3,2.130526942E-3,0.000000000E0,8.784387824E-3
2.164999962E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
2.174999952E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
2.184999943E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
2.203999996E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
2.214999914E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
2.224999905E0,6.391580697E-3,1.065263471E-3,0.000000000E0,6.479744779E-3
2.233999968E0,5.326317681E-3,1.065263471E-3,0.000000000E0,5.431799577E-3
2.243999958E0,4.261053885E-3,2.130526942E-3,0.000000000E0,4.764003135E-3
2.253999949E0,4.261053885E-3,1.065263471E-3,0.000000000E0,4.392193912E-3
2.275000095E0,3.195790349E-3,1.065263471E-3,1.065263471E-3,3.533079156E-3
2.312999964E0,4.261053885E-3,1.065263471E-3,0.000000000E0,4.392193912E-3
2.322999954E0,5.326317681E-3,1.065263471E-3,0.000000000E0,5.431799577E-3
2.332999945E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
2.342999935E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
2.354000092E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
2.361999989E0,4.261053885E-3,2.130526942E-3,0.000000000E0,4.764003135E-3
2.372999907E0,3.195790349E-3,2.130526942E-3,0.000000000E0,3.840862035E-3
2.381999969E0,4.261053885E-3,2.130526942E-3,0.000000000E0,4.764003135E-3
2.391999960E0,6.391580697E-3,1.065263471E-3,1.065263471E-3,6.566725003E-3
2.403000116E0,6.391580697E-3,1.065263471E-3,1.065263471E-3,6.566725003E-3
2.411999941E0,5.326317681E-3,1.065263471E-3,1.065263471E-3,5.535271621E-3
